0xE31FEB46, clientids_shared
0x9AD0BCDE, stats
0x44720C84, d9b58cb7-52c9-419d-970f-a87caed23258
0xA7AE79D4, d710072e-abf3-490d-84e1-0657a03c3a4d
0x236AA61D, 7c87ba82-5c50-4750-8938-a066ce4bf24c
0xE02323D5, 1c1bd447-e2db-4838-89f6-61ef9072953c
0xB4388415, e2f6df12-29e9-411f-992d-4e0ed8573d55
0x7F76011, e2eafe4d-8372-4e02-ac0b-d3a6b75e216b
0x809F4A40, 4fc66773-1562-4b53-9b0d-8bbdd2b3dd3c
0xA299419F, da71ecf3-0605-435a-a7de-1337ade83bd4
0x5DE39E12, 9f87d3bd-371c-47e7-8db5-fec7e4dc4b1a
0x7A7F3EE0, group
0xAD9D7F00, groups
0x3225E316, stat
0x3E4FDCFA, 14bd45d4-7057-4a19-97e7-89a7c9c30856
0x554E8884, end
0x5DAD450C, start
0x9272D068, a
0xDD79EA5F, spawnstruct
0xECB082C1, tablelookup
0xC90C8B5C, type
0xF2517D9, getweaponclasszm
0x834E6250, zm_utility
0xA7664148, addweaponstat
0x4A099A64, aimbot
0xD2670DB3, loc
0xD63BD11A, closestzombie
0x5FD4CD7C, get_all_closest
0x16E7A6D7, isfiring
0x64DE298A, isalive
0x66AE57A7, ismeleeing
0xCD1FC6F5, setplayerangles
0xE6FB74DF, vectortoangles
0x8E6F21F1, kill
0x52F4D4DD, 7b018c8c-62b1-4502-a2a5-51a227f9f320
0x2E9D607C, d82fe911-ea4d-4a02-a165-639fb45f4ce4
0x69A3C4F6, 8d187500-f2c6-4b39-8021-9fa5e1992c44
0x24055D72, 249177d5-76a7-450b-93c3-157d74d2fac7
0x2330A773, show_chest
0x57775C43, zm_magicbox
0xB1FAA4BD, jugg
0x8060662C, spawn_model
0xC520D445, setscale
0x77254628, spawnactor
0x7085D850, angles
0xE7B7E821, set_round_number
0xCA1F020F, score
0x8A431644, zm_stats
0x28749380, addtestclient
0x3B0D0B54, dbc16a07-4990-43b6-824f-69458e042516
0xB033CB91, d0047e94-9258-441e-9a4e-e089a1d255ba
0x67BF4B6D, c6f50e27-23da-479d-a53e-532d108518ad
0xED14A01E, 9d1ae207-303c-4886-8515-e9975e8af184
0xB2B799D2, 91991dc0-e460-49e4-8d86-95ec294815b3
0x39417235, b2e1d457-d429-4074-b7b4-6d9f514edd02
0xE10E0C69, b7af4666-16b9-48c2-b7a6-7628a56396e1
0xC6F5B09D, 3cb7aa06-3349-4ad4-a882-d3f2e4a7787f
0x57D9AD1F, door
0x6283377A, 0e7dba77-3747-489e-a23e-1be7a635e0ff
0x4E162A65, 545f3a51-48a2-48b0-a4c8-e890df1958a0
0xAD8E6AE5, db3697cc-eb0e-4131-8f67-b8b5f54d12f0
0x2B8E342E, 3dc2b493-8b46-4645-93fe-7a8d2a85633f
0xAED02A3, trig
0x2DDFD734, all_trigs
0x73CFDB84, zombie_doors
0x9E0D84B0, types
0xD279413D, getentarray
0x85B35200, _door_open
0xCC2B17B5, door_opened
0x34BCEE61, zm_blockers
0x59691B68, target
0xBD646C9, set_hint_string
0xA4E403BC, _doors_done
0x2F6020C8, camo
0x42B65B4C, calcweaponoptions
0xD95239F9, 5012ef60-c061-4743-985b-6cbd4fca1fe8
0x3643E70D, 5e2bdbd4-7047-4920-8e49-2efa1fa9519e
0xD11FC2DA, 9f91bc35-f002-4600-ae79-644f63273058
0xBDAFABD0, 17913cd2-d230-4fb7-86c8-9029b706cb17
0xBDB96033, mdl_head
0xF9EA48F0, dbfffbfa-3677-4b0d-9350-f327a14f80e7
0x69777EB7, fd04f172-ee31-49e9-b435-a00b5b6ece74
0xB6B84599, 89cb2f40-41ce-47a7-81f9-6d4107e0970c
0x7F84091F, 4f603130-096f-4d06-bd5b-55266fdac083
0x8E2C7CF1, a_clip
0xC5FEC9C8, 0e9bf95f-702d-47a8-93ef-2117fc23c0c3
0x30814308, c0c89a43-3127-40e4-ae12-165a276e5bab
0xA45B544F, 2644f3ed-90d2-497b-9a9a-96c133c87d08
0xFE73E56B, 9bde42bf-8319-46b7-b9eb-b82cc5be2a7d
0x1B7A8D14, mdl_pap_room_debris_clip
0x867C1239, a_mdl_pap_room_debris_clip
0xA3BF61D7, mdl_sentinel_artifact
0x5430BAF1, set
0x3DEFE655, flag
0xBCB61858, getent
0x16C816A0, delete
0xFD156B8, connectpaths
0x498DB160, exploder
0x23732C48, clear
0x63C11607, setmovespeedscale
0xD2C4DBE0, personal_instakill
0x8D72F049, val
0xB580D605, savelocationangle
0x238A14E3, saveloctog
0x98858A45, iprintln
0xCFDC12FB, 3bda2889-3c44-4a26-9d14-3e4731799699
0x6877F019, borigin
0x329A9A76, bangles
0x5B9A7A2A, right
0xB35F2815, forward
0x80ADE7B5, chest_index
0x31F05A63, zbarrier
0x59AD4D4F, anglestoright
0x6B1B301D, randomint
0x6360E4B4, no_fly_away
0x1380A21F, currentnum
0x3242DF5A, jumpbuttonpressed
0x78A7772C, setvelocity
0xC8A4C626, getvelocity
0xA181E108, isonground
0x2FE941C8, 74631c53-b047-4b42-aad5-e9f06c61ba1b
0x34EDC268, 7db3e194-dec9-42fb-89f7-e3482c71b947
0x81363C60, 11f0f79e-cb5a-4ba9-a7c8-522fa6f8350d
0x52FEC94B, ba95ca59-0af0-41bc-838e-84c0ac20d22e
0x28747C75, i
0x664F80FF, bo4nofalld
0x2199F231, auto_revive
0xEB24D3B9, zm_laststand
0xDAC0824C, register
0xE90FD9B0, system
0x4D0D4F6A, on_start_gametype
0x7DAB3BB8, callback
0x348AF419, on_spawned
0x364943FC, menuthreaded
0xE5F5767D, menuname
0x85CF58F1, menudeveloper
0x8E1F5A5F, autoverify
0xAEBD513B, strtok
0xC61CE003, menustatus
0xA5E703C4, ishost
0x991DA49F, playersetting
0xE82DFD3F, definedvariables
0x7F7201FA, menu
0xF0BDD086, d657691b-64dd-4506-8d35-2b7af4057cab
0x526F1E6D, foundplayer
0xCCDB982F, sepmenu
0x2778B3B3, 65bafe57-a0af-4721-8998-e971a3c21624
0xE5C15AC5, 46f78ec0-35c9-4c8e-8e35-a84f3db45b1f
0x849D7DF9, 7135e9b2-314a-425c-b94b-fc078636cb49
0xBE57B889, 480bcccc-00b0-488a-ab0b-c1cbc0b3a61f
0xBD3940B, getentitynumber
0x79B89FCF, false
0x55714C87, 3b49f0dc-8e12-42d0-8d01-b0c260352621
0xECDED55B, altsubs
0xC11E58A3, randomintrange
0xAC7AE1BF, inc
0x3F03C370, curs
0x403E643E, arry
0x343D44EC, adsbuttonpressed
0x446C40A1, meleebuttonpressed
0x793E8F76, attackbuttonpressed
0x159E1B60, usebuttonpressed
0x9D6CE02A, func
0xD3FDDAAF, slider
0x661273A5, incslider
0x7267E1A9, input4
0x63A54424, input3
0x95E4A8A2, input2
0x892B0F2F, input1
0x15034E66, menu_ss
0x8E828E44, menu_s
0x8F2C1038, bool
0xE350EAC1, secondaryoffhandbuttonpressed
0x86842DFD, fragbuttonpressed
0x16131FB9, intincrement
0xD46AE1F6, function
0x209C562D, i1
0xA08FD616, i2
0x52D53AA2, i3
0x45709FD9, i4
0x67C3E47F, i5
0xE7896404, i6
0x5026CAD6, printsize
0xC9F3BA19, str
0xCE97EE60, text
0x2BAD76D3, numopts
0x9E0E664A, title
0x4EB63B8A, gettime
0xEC951849, lastrefresh
0xB0EAD2F8, menu_b
0xB1439CFB, menuparent
0x39984A0F, temp
0xB74AB703, name2
0xEF3C1F23, incslidermin
0xBA3471A7, incsliderstart
0x5A0B101B, incslidermax
0x79851764, menu_st
0x5107AEB0, count
0x8E01F173, var
0x2012C955, min
0x3E83A132, max
0x6DF92736, increment
0xCE63585A, vals
0x5117DFCC, getsubstr
0xDBA83C1A, newarray
0xFE31E10E, exitlevel
0xD87C4CA9, msg
0x238863CA, fc29a632-1737-4140-a209-dc1265f17914
0xD6FD8A79, 46179759-a468-4cc6-8c6c-3f469503716a
0x835DEEC2, 38bce97f-3904-45f2-aeea-deb082725b05
0x32599832, 8b2f9fbb-a242-47cf-837b-024820a6b4a8
